一	j ɐ t
涉	s i: p
預	j y:
擾	j i:u
弓	k ʊ ŋ
箭	t s i: n
俊	t s ɵ n
智	t s i:
華	w a:
華	f a:
幹	k ɔ: n
貌	m a:u
識	t s i:
識	s ɪ k
不	f ɐu
不	p ɐ t
允	w ɐ n
及	kʰ ɐ p
及	k ɐ p
少	s i:u
出	t sʰ ɵ t
只	t s ɛ: k
只	t s i:
可	h ɐ k
可	h ɔ:
平	pʰ ɛ: ŋ
平	pʰ ɪ ŋ
必	p i: t
甘	k ɐ m
用	j ʊ ŋ
如	j y:
安	ŋ ɔ: n
安	ɔ: n
朽	j ɐu
朽	n ɐu
行	h a: ŋ
行	h ɐ ŋ
行	h ɔ: ŋ
但	t a: n
免	m i: n
免	m ɐ n
利	l ei
妥	tʰ ɔ:
妨	f ɔ: ŋ
肖	t sʰ i:u
良	l œ: ŋ
佳	k a:i
到	t ou
和	w ɔ:
宜	j i:
幸	h ɐ ŋ
忿	f ɐ n
怕	pʰ a:
明	m ɪ ŋ
治	t s i:
治	t sʰ i:
知	t s i:
肯	h ɐ ŋ
肯	h ɔ:i
要	j i:u
倒	t ou
准	t s ɵ n
容	j ʊ ŋ
屑	s i: t
料	l i:u
夠	k ɐu
惜	s ɪ k
惜	s ɛ: k
爽	s ɔ: ŋ
理	l ei
符	f u:
單	s i: n
單	t a: n
堪	h ɐ m
敢	k ɐ m
曾	t s ɐ ŋ
曾	t sʰ ɐ ŋ
然	j i: n
僅	k ɐ n
慎	s ɐ n
禁	k ɐ m
禁	kʰ ɐ m
該	k ɔ:i
詳	t sʰ œ: ŋ
過	k w ɔ:
像	t s œ: ŋ
實	s ɐ t
對	t ɵy
滿	m u: n
管	k u: n
需	s ɵy
論	l ɵ n
適	s ɪ k
適	t ɪ k
錯	t sʰ ou
錯	t sʰ ɔ:
錯	t sʰ ɔ: k
穩	w ɐ n
願	j y: n
顧	k u:
變	p i: n
中	t s ʊ ŋ
介	k a:i
止	t s i:
外	ŋ ɔ:i
外	ɔ:i
央	j œ: ŋ
立	l a: p
立	l ɐ p
伏	p ʊ k
伏	f ʊ k
年	n i: n
指	t s i:
毒	t ʊ k
秋	t sʰ ɐu
堅	k i: n
庸	j ʊ ŋ
途	tʰ ou
部	p ou
暑	s y:
期	k ei
期	kʰ ei
樞	s y:
獎	t s œ: ŋ
興	h ɪ ŋ
餐	t sʰ a: n
醫	j i:
藥	j œ: k
聽	tʰ ɪ ŋ
聽	tʰ ɛ: ŋ
籤	t sʰ i: m
丹	t a: n
田	tʰ i: n
之	t s i:
內	n a: p
內	n ɔ:i
後	h ɐu
餘	j y:
予	j y:
以	j i:
以	j y:
互	w u:
助	t s ɔ:
保	p ou
勉	m i: n
相	s œ: ŋ
動	t ʊ ŋ
通	tʰ ʊ ŋ
惠	w ɐi
換	w u: n
補	p ou
毆	ɐu
諒	l œ: ŋ
五	ŋ
井	t s ɛ: ŋ
井	t s ɪ ŋ
底	t ɐi
亢	kʰ ɔ: ŋ
亢	k ɔ: ŋ
奮	f ɐ n
什	t s a: p
什	s ɐ p
什	s ɐ m
麼	m ɔ:
麼	m a:
錦	k ɐ m
仁	j ɐ n
兄	h ɪ ŋ
厚	h ɐu
政	t s ɪ ŋ
慈	t sʰ i:
義	j i:
仆	f u:
仆	pʰ ʊ k
仇	s ɐu
仇	kʰ ɐu
仇	t sʰ ɐu
怨	j y: n
恨	h ɐ n
殺	s a:i
殺	s a: t
視	s i:
敵	t ɪ k
今	k ɐ m
日	j ɐ t
昔	s ɪ k
晚	m a: n
晨	s ɐ n
紹	s i:u
懷	w a:i
仍	j ɪ ŋ
舊	k ɐu
元	j y: n
件	k i: n
兇	h ʊ ŋ
老	l ou
帥	s ɵy
帥	s ɵ t
宵	s i:u
素	s ou
配	pʰ u:i
寶	p ou
功	k ʊ ŋ
在	t s ɔ:i
奸	k a: n
耳	j i:
疚	k ɐu
省	s ɪ ŋ
省	s a: ŋ
耗	h ou
訌	h ʊ ŋ
務	m ou
患	w a: n
涵	h a: m
景	k ɪ ŋ
景	j ɪ ŋ
亂	l y: n
債	t s a:i
幕	m ɔ: k
閣	k ɔ: k
線	s i: n
銷	s i:u
褲	f u:
鬨	h ʊ ŋ
臟	t s ɔ: ŋ
公	k ʊ ŋ
尺	t sʰ ɛ:
尺	t sʰ ɛ: k
布	p ou
正	t s ɪ ŋ
正	t s ɛ: ŋ
式	s ɪ k
佈	p ou
告	k ou
告	k ʊ k
里	l ei
函	h a: m
帑	tʰ ɔ: ŋ
帑	n ou
社	s ɛ:
案	ŋ ɔ: n
案	ɔ: n
益	j ɪ k
祭	t s ɐi
頃	kʰ ɪ ŋ
寓	j y:
開	h ɔ:i
園	j y: n
墓	m ou
認	j ɪ ŋ
認	j ɐ n
審	s ɐ m
憤	f ɐ n
噸	t ɵ n
曆	l ɪ k
館	k u: n
爵	t s œ: k
職	t s ɪ k
雞	k ɐi
關	k w a: n
冗	j ʊ ŋ
長	t s œ: ŋ
長	t sʰ œ: ŋ
詞	t sʰ i:
凶	h ʊ ŋ
兆	s i:u
兆	t s i:u
宅	t s a: k
狠	h ɐ n
悍	h ɔ: n
猛	m a: ŋ
惡	w u:
惡	ŋ ɔ: k
惡	ɔ: k
器	h ei
險	h i: m
寸	t sʰ y: n
化	f a:
支	t s i:
母	m ou
別	p i: t
貝	p u:i
享	h œ: ŋ
居	k ɵy
店	t i: m
析	s ɪ k
析	t sʰ ɪ k
歧	kʰ ei
泌	p ɐ t
泌	p ei
段	t y: n
派	pʰ a:i
娩	m i: n
娩	m a: n
毫	h ou
割	k ɔ: t
散	s a: n
發	f a: t
給	kʰ ɐ p
裂	l i: t
隔	k a: k
憂	j ɐu
擔	t a: m
辨	p i: n
離	l ei
鐘	t s ʊ ŋ
贓	t s ɔ: ŋ
辯	p i: n
攤	tʰ a: n
合	k ɐ p
合	h ɐ p
合	k a: p
肉	j ʊ k
忌	k ei
削	s œ: k
記	k ei
除	t sʰ ɵy
除	t sʰ y:
掉	t ɛ:u
掉	t s a:u
掉	t i:u
碎	s ɵy
腹	f ʊ k
磋	t sʰ ɔ:
題	tʰ ɐi
勻	w ɐ n
勾	ɐu
勾	ŋ ɐu
勾	k ɐu
引	j ɐ n
住	t s y:
勒	l ɐ k
勒	l a: k
畫	w a:
畫	w a: k
搭	t a: p
石	t a: m
石	s ɛ: k
妝	t s ɔ: ŋ
肥	f ei
驗	j i: m
匹	pʰ ɐ t
值	t s ɪ k
高	k ou
旗	kʰ ei
遷	t sʰ i: n
宴	j i: n
飯	f a: n
膳	s i: n
厄	a: k
厄	ɐ k
運	w ɐ n
第	t ɐi
軍	k w ɐ n
善	s i: n
愛	ɔ:i
愛	ŋ ɔ:i
誼	j i:
鄰	l ɵ n
反	f a: n
比	p ei
比	pʰ ei
目	m ʊ k
光	k w ɔ: ŋ
而	j i:
串	t sʰ y: n
串	k w a: n
抗	kʰ ɔ: ŋ
攻	k ʊ ŋ
叛	p u: n
胃	w ɐi
射	s ɛ:
射	j ɛ:
射	j ɪ k
差	t sʰ i:
差	t sʰ a:i
差	t sʰ a:
悔	f u:i
問	m ɐ n
常	s œ: ŋ
復	f ɐu
復	f ʊ k
感	k ɐ m
駁	p ɔ: k
撲	p ɔ: k
撲	pʰ ɔ: k
噬	s ɐi
諷	f ʊ ŋ
應	j ɪ ŋ
擊	k ɪ k
覆	f ʊ k
覆	f ɐu
轉	t s y: n
響	h œ: ŋ
襯	t sʰ ɐ n
觀	k u: n
份	p ɐ n
份	f ɐ n
災	t s ɔ:i
花	f a:
亮	l œ: ŋ
庭	tʰ ɪ ŋ
真	t s ɐ n
國	k w ɔ: k
涯	ŋ a:i
窗	t sʰ œ: ŋ
黑	h a: k
黑	h ɐ k
賦	f u:
壇	tʰ a: n
橋	kʰ i:u
藍	l a: m
鵝	ŋ ɔ:
太	tʰ a:i
后	h ɐu
極	k ɪ k
監	k a: m
君	k w ɐ n
婦	f u:
夭	j i:u
折	t s i: t
折	t s i: p
逝	s ɐi
孔	h ʊ ŋ
雀	t s œ: k
男	n a: m
見	j i: n
見	k i: n
東	t ʊ ŋ
尤	j ɐu
其	k ei
其	kʰ ei
甚	s ɐ p
甚	s ɐ m
碼	m a:
屯	tʰ y: n
屯	t s ɵ n
駐	t s y:
積	t s ɪ k
掌	t s œ: ŋ
幻	w a: n
術	s ɵ t
想	s œ: ŋ
滅	m i: t
燈	t ɐ ŋ
覺	k a:u
覺	k ɔ: k
申	s ɐ n
言	j i: n
航	h ɔ: ŋ
退	tʰ ɵy
渡	t ou
誘	j ɐu
領	l ɪ ŋ
領	l ɛ: ŋ
導	t ou
擎	kʰ ɪ ŋ
爆	p a:u
血	h y: t
志	t s i:
房	f ɔ: ŋ
急	k ɐ p
計	k ɐi
計	k ei
疼	tʰ ɐ ŋ
疼	tʰ ʊ ŋ
悸	k w ɐi
涼	l œ: ŋ
軟	j y: n
寒	h ɔ: n
扉	f ei
痛	tʰ ʊ ŋ
虛	h ɵy
慌	f ɔ: ŋ
腸	t sʰ œ: ŋ
裏	l ei
裏	l ɵy
裡	l ei
裡	l ɵy
跡	t s ɛ: k
跡	t s ɪ k
跳	tʰ i:u
態	tʰ a:i
窩	w ɔ:
算	s y: n
緒	s ɵy
酸	s y: n
醉	t s ɵy
機	k ei
癢	j œ: ŋ
巾	k ɐ n
抄	t sʰ a:u
肘	t s ɐu
肘	t s a:u
帕	pʰ a: k
帕	pʰ a:
套	tʰ ou
提	tʰ ɐi
提	t ɐi
腕	w u: n
絹	k y: n
銬	kʰ a:u
稿	k ou
鋸	k ɵy
鋸	k ɛ:u
錶	p i:u
臂	p ei
鬆	s ʊ ŋ
續	t s ʊ k
鐲	t s ʊ k
癬	s i: n
踭	t s a: ŋ
踭	t s ɐ ŋ
扎	t s a: t
根	k ɐ n
付	f u:
取	t sʰ ɵy
持	t sʰ i:
架	k a:
柱	t sʰ y:
票	pʰ i:u
票	p i:u
撐	t sʰ a: ŋ
火	f ɔ:
盲	m a: ŋ
采	t sʰ ɔ:i
革	k ɪ k
革	k a: k
革	k a: p
庫	f u:
弱	j œ: k
書	s y:
章	t s œ: ŋ
雅	ŋ a:
雅	a:
摘	t s a: k
憑	pʰ ɛ: ŋ
憑	p ɐ ŋ
憑	pʰ ɐ ŋ
靜	t s ɪ ŋ
辭	t sʰ i:
獻	h i: n
斗	t ɐu
蓬	pʰ ʊ ŋ
蓬	f ʊ ŋ
篷	pʰ ʊ ŋ
兩	l œ: ŋ
位	w ɐi
形	j ɪ ŋ
桌	t s œ: k
桌	t sʰ œ: k
針	t s ɐ m
照	t s i:u
蝕	s i: t
蝕	s ɪ k
誌	t s i:
薪	s ɐ n
月	j y: t
刊	h ɔ: n
尾	m ei
初	t sʰ ɔ:
息	s ɐ k
球	kʰ ɐu
餅	p ɪ ŋ
餅	p ɛ: ŋ
木	m ʊ k
瓜	k w a:
匣	h a: p
材	t sʰ ɔ:i
刻	h a: k
刻	h ɐ k
板	p a: n
柵	s a: n
柵	t sʰ a: k
炭	tʰ a: n
屐	kʰ ɛ: k
