一	j ɐ t
推卻	tʰ ɵy kʰ œ: k
推倒	tʰ ɵy t ou
推展	tʰ ɵy t s i: n
推拿	tʰ ɵy n a:
推拿	tʰ ɵy l a:
推動	tʰ ɵy t ʊ ŋ
推崇	tʰ ɵy s ʊ ŋ
推掉	tʰ ɵy t ɛ:u
推理	tʰ ɵy l ei
推測	tʰ ɵy t sʰ ɐ k
推進	tʰ ɵy t s ɵ n
推開	tʰ ɵy h ɔ:i
推想	tʰ ɵy s œ: ŋ
推敲	tʰ ɵy h a:u
推演	tʰ ɵy j i: n
推算	tʰ ɵy s y: n
推說	tʰ ɵy s y: t
推廣	tʰ ɵy k w ɔ: ŋ
推諉	tʰ ɵy j y:
推論	tʰ ɵy l ɵ n
推銷	tʰ ɵy s i:u
推遲	tʰ ɵy t sʰ i:
推選	tʰ ɵy s y: n
推壓	tʰ ɵya: t
推壓	tʰ ɵy ŋ a: t
推舉	tʰ ɵy k ɵy
推薦	tʰ ɵy t s i: n
推斷	tʰ ɵy t y: n
推翻	tʰ ɵy f a: n
推辭	tʰ ɵy t sʰ i:
推讓	tʰ ɵy j œ: ŋ
掩沒	j i: mm u: t
掩埋	j i: mm a:i
掩飾	j i: m s ɪ k
掩蓋	j i: m k ɔ:i
掩鼻	j i: m p ei
掩蔽	j i: m p ɐi
掩藏	j i: m t sʰ ɔ: ŋ
掩護	j i: m w u:
掩體	j i: m tʰ ɐi
措施	t sʰ ou s i:
措詞	t sʰ ou t sʰ i:
措辭	t sʰ ou t sʰ i:
敍述	s ɵy s ɵ t
敍說	s ɵy s y: t
敍舊	s ɵy k ɐu
敏捷	m ɐ n t s i: t
敏感	m ɐ n k ɐ m
敏銳	m ɐ n j ɵy
救亡	k ɐu m ɔ: ŋ
救火	k ɐu f ɔ:
救世	k ɐu s ɐi
救出	k ɐu t sʰ ɵ t
救生	k ɐu s ɐ ŋ
救兵	k ɐu p ɪ ŋ
救助	k ɐu t s ɔ:
救災	k ɐu t s ɔ:i
救命	k ɐu m ɛ: ŋ
救治	k ɐu t s i:
救急	k ɐu k ɐ p
救星	k ɐu s ɪ ŋ
救活	k ɐu w u: t
救荒	k ɐu f ɔ: ŋ
救起	k ɐu h ei
救國	k ɐu k w ɔ: k
救援	k ɐu w u: n
救濟	k ɐu t s ɐi
救護	k ɐu w u:
救贖	k ɐu s ʊ k
敗亡	p a:i m ɔ: ŋ
敗仗	p a:i t s œ: ŋ
敗北	p a:i p ɐ k
敗局	p a:i k ʊ k
敗走	p a:i t s ɐu
敗軍	p a:i k w ɐ n
敗退	p a:i tʰ ɵy
敗陣	p a:i t s ɐ n
敗將	p a:i t s œ: ŋ
敗筆	p a:i p ɐ t
敗訴	p a:i s ou
敗績	p a:i t s ɪ k
敗壞	p a:i w a:i
敗類	p a:i l ɵy
敗露	p a:i l ou
敘事	t s ɵy s i:
敘述	t s ɵy s ɵ t
敘說	t s ɵy s y: t
敘舊	t s ɵy k ɐu
教士	k a:u s i:
教化	k a:u f a:
教友	k a:u j ɐu
教父	k a:u f u:
教廷	k a:u tʰ ɪ ŋ
教材	k a:u t sʰ ɔ:i
教育	k a:u j ʊ k
教具	k a:u k ɵy
教宗	k a:u t s ʊ ŋ
教官	k a:u k u: n
教法	k a:u f a: t
教室	k a:u s ɐ t
教派	k a:u pʰ a:i
教研	k a:u j i: n
教員	k a:u j y: n
教唆	k a:u s ɔ:
教師	k a:u s i:
教徒	k a:u tʰ ou
教書	k a:u s y:
教案	k a:uɔ: n
教訓	k a:u f ɐ n
教務	k a:u m ou
教區	k a:u kʰ ɵy
教堂	k a:u tʰ ɔ: ŋ
教授	k a:u s ɐu
教條	k a:u tʰ i:u
教會	k a:u w u:i
教義	k a:u j i:
教誨	k a:u f u:i
教練	k a:u l i: n
教養	k a:u j œ: ŋ
教學	k a:u h ɔ: k
教導	k a:u t ou
教諭	k a:u j y:
教職	k a:u t s ɪ k
教鞭	k a:u p i: n
敝處	p ɐi t sʰ y:
敝開	p ɐi h ɔ:i
斜角	t sʰ ɛ: k ɔ: k
斜坡	t sʰ ɛ: pʰ ɔ:
斜面	t sʰ ɛ: m i: n
斜射	t sʰ ɛ: s ɛ:
斜紋	t sʰ ɛ: m ɐ n
斜眼	t sʰ ɛ: ŋ a: n
斜視	t sʰ ɛ: s i:
斜陽	t sʰ ɛ: j œ: ŋ
斜照	t sʰ ɛ: t s i:u
斜線	t sʰ ɛ: s i: n
斬首	t s a: m s ɐu
斬獲	t s a: m w ɔ: k
旋即	s y: n t s ɪ k
旋律	s y: n l ɵ t
旋風	s y: n f ʊ ŋ
旋轉	s y: n t s y: n
族人	t s ʊ k j ɐ n
族長	t s ʊ k t s œ: ŋ
族群	t s ʊ k kʰ w ɐ n
族裔	t s ʊ k j ɵy
族譜	t s ʊ k pʰ ou
晚上	m a: n s œ: ŋ
晚生	m a: n s ɐ ŋ
晚安	m a: n ɔ: n
晚年	m a: n l i: n
晚秋	m a: n t sʰ ɐu
晚風	m a: n f ʊ ŋ
晚宴	m a: n j i: n
晚婚	m a: n f ɐ n
晚報	m a: n p ou
晚景	m a: n k ɪ ŋ
晚期	m a: n kʰ ei
晚間	m a: n k a: n
晚飯	m a: n f a: n
晚會	m a: n w u:i
晚裝	m a: n t s ɔ: ŋ
晚睡	m a: n s ɵy
晚輩	m a: n p u:i
晚膳	m a: n s i: n
晚餐	m a: n t sʰ a: n
晚霜	m a: n s œ: ŋ
晚霞	m a: n h a:
晚點	m a: n t i: m
晝夜	t s ɐu j ɛ:
晤談	ŋ tʰ a: m
晦氣	f u:i h ei
晨光	s ɐ n k w ɔ: ŋ
晨操	s ɐ n t sʰ ou
晨曦	s ɐ n h ei
晨鐘	s ɐ n t s ʊ ŋ
望日	m ɔ: ŋ j ɐ t
望見	m ɔ: ŋ k i: n
望到	m ɔ: ŋ t ou
桶子	tʰ ʊ ŋ t s i:
桶裝	tʰ ʊ ŋ t s ɔ: ŋ
桶蓋	tʰ ʊ ŋ k ɔ:i
桿狀	k ɔ: n t s ɔ: ŋ
梅子	m u:i t s i:
梅花	m u:i f a:
梅毒	m u:i t ʊ k
梗塞	k ɐ ŋ s ɐ k
條文	tʰ i:u m ɐ n
條目	tʰ i:u m ʊ k
條件	tʰ i:u k i: n
條例	tʰ i:u l ɐi
條約	tʰ i:u j œ: k
條紋	tʰ i:u m ɐ n
條理	tʰ i:u l ei
條款	tʰ i:u f u: n
梟雄	h i:u h ʊ ŋ
梨樹	l ei s y:
梯子	tʰ ɐi t s i:
梯形	tʰ ɐi j ɪ ŋ
梯狀	tʰ ɐi t s ɔ: ŋ
梯架	tʰ ɐi k a:
梯級	tʰ ɐi kʰ ɐ p
棄婦	h ei f u:
棄置	h ei t s i:
棄養	h ei j œ: ŋ
棄嬰	h ei j ɪ ŋ
棄權	h ei kʰ y: n
欲求	j ʊ k kʰ ɐu
欲望	j ʊ k m ɔ: ŋ
殺手	s a: t s ɐu
殺生	s a: t s ɐ ŋ
殺伐	s a: t f ɐ t
殺光	s a: t k w ɔ: ŋ
殺死	s a: t s ei
殺害	s a: t h ɔ:i
殺掉	s a: tt ɛ:u
殺菌	s a: t kʰ w ɐ n
殺傷	s a: t s œ: ŋ
殺價	s a: t k a:
殺戮	s a: t l ʊ k
殺敵	s a: tt ɪ k
殺機	s a: t k ei
殺頭	s a: t tʰ ɐu
毫子	h ou t s i:
毫不	h ou p ɐ t
毫升	h ou s ɪ ŋ
毫米	h ou m ɐi
毫克	h ou h ɐ k
毫無	h ou m ou
氫氣	h ɪ ŋ h ei
液化	j ɪ k f a:
液晶	j ɪ k t s ɪ ŋ
液態	j ɪ k tʰ a:i
液體	j ɪ k tʰ ɐi
涵意	h ɔ: m j i:
涵義	h a: m j i:
涵養	h a: m j œ: ŋ
涼快	l œ: ŋ f a:i
涼亭	l œ: ŋ tʰ ɪ ŋ
涼風	l œ: ŋ f ʊ ŋ
涼粉	l œ: ŋ f ɐ n
涼爽	l œ: ŋ s ɔ: ŋ
涼菜	l œ: ŋ t sʰ ɔ:i
涼意	l œ: ŋ j i:
涼蓆	l œ: ŋ t sʰ ɛ: k
涼鞋	l œ: ŋ h a:i
淋巴	l ɐ m p a:
淋雨	l ɐ m j y:
淋浴	l ɐ m j ʊ k
淋病	l ɐ m p ɛ: ŋ
淋濕	l ɐ m s ɐ p
淑女	s ʊ k n ɵy
淑女	s ʊ k l ɵy
淒冷	t sʰ ɐi l a: ŋ
淒涼	t sʰ ɐi l œ: ŋ
淒愴	t sʰ ɐi t sʰ ɔ: ŋ
淒楚	t sʰ ɐi t sʰ ɔ:
淒慘	t sʰ ɐi t sʰ a: m
淒厲	t sʰ ɐi l ɐi
淘井	tʰ ou t s ɛ: ŋ
淘汰	tʰ ou tʰ a:i
淘空	tʰ ou h ʊ ŋ
淘金	tʰ ou k ɐ m
淘氣	tʰ ou h ei
淚水	l ɵy s ɵy
淚珠	l ɵy t s y:
淚痕	l ɵy h ɐ n
淚眼	l ɵy ŋ a: n
淚腺	l ɵy s i: n
淡化	t a: m f a:
淡妝	t a: m t s ɔ: ŋ
淡忘	t a: mm ɔ: ŋ
淡季	t a: m k w ɐi
淡泊	t a: m pʰ a: k
淡紅	t a: m h ʊ ŋ
淡酒	t a: m t s ɐu
淡然	t a: m j i: n
淡黃	t a: m w ɔ: ŋ
淡薄	t a: m p ɔ: k
淤血	j y: h y: t
淤泥	j y: n ɐi
淤泥	j y: l ɐi
淤塞	j y: s ɐ k
淤積	j y: t s ɪ k
淨土	t s ɪ ŋ tʰ ou
淨化	t s ɪ ŋ f a:
淨水	t s ɪ ŋ s ɵy
淨利	t s ɪ ŋ l ei
淨重	t s ɪ ŋ t s ʊ ŋ
淨值	t s ɪ ŋ t s ɪ k
淨賺	t s ɪ ŋ t s a: n
淪為	l ɵ n w ɐi
淪陷	l ɵ n h a: m
淪落	l ɵ n l ɔ: k
淫邪	j ɐ m t sʰ ɛ:
淫威	j ɐ m w ɐi
淫書	j ɐ m s y:
淫婦	j ɐ m f u:
淫棍	j ɐ m k w ɐ n
淫亂	j ɐ m l y: n
淫業	j ɐ m j i: p
淫慾	j ɐ m j ʊ k
淫蕩	j ɐ m t ɔ: ŋ
淫褻	j ɐ m s i: t
淫穢	j ɐ m w ɐi
深入	s ɐ m j ɐ p
深山	s ɐ m s a: n
深切	s ɐ m t sʰ i: t
深化	s ɐ m f a:
深交	s ɐ m k a:u
深色	s ɐ m s ɪ k
深坑	s ɐ m h a: ŋ
深沈	s ɐ m s ɐ m
深究	s ɐ m k ɐu
深谷	s ɐ m k ʊ k
深刻	s ɐ m h ɐ k
深受	s ɐ m s ɐu
深夜	s ɐ m j ɛ:
深怕	s ɐ m pʰ a:
深知	s ɐ m t s i:
深信	s ɐ m s ɵ n
深厚	s ɐ m h ɐu
深巷	s ɐ m h ɔ: ŋ
深度	s ɐ m t ou
深思	s ɐ m s i:
深秋	s ɐ m t sʰ ɐu
深恐	s ɐ m h ʊ ŋ
深海	s ɐ m h ɔ:i
深得	s ɐ m t ɐ k
深情	s ɐ m t sʰ ɪ ŋ
深淵	s ɐ m j y: n
深淺	s ɐ m t sʰ i: n
深處	s ɐ m t sʰ y:
深造	s ɐ m t sʰ ou
深奧	s ɐ m ou
深奧	s ɐ m ŋ ou
深感	s ɐ m k ɐ m
深溝	s ɐ m kʰ ɐu
深遠	s ɐ m j y: n
深閨	s ɐ m k w ɐi
深藍	s ɐ m l a: m
深邃	s ɐ m s ɵy
淳厚	s ɵ n h ɐu
淳樸	s ɵ n pʰ ɔ: k
淵博	j y: n p ɔ: k
淵源	j y: n j y: n
混入	w ɐ n j ɐ p
混吃	w ɐ n h ɛ: k
混合	w ɐ n h ɐ p
混成	w ɐ n s ɪ ŋ
混沌	w ɐ n t ɐ n
混沌	w ɐ n t ɵ n
混帳	w ɐ n t s œ: ŋ
混淆	w ɐ n ŋ a:u
混淆	w ɐ n a:u
混蛋	w ɐ n t a: n
混亂	w ɐ n l y: n
混戰	w ɐ n t s i: n
混濁	w ɐ n t s ʊ k
混雜	w ɐ n t s a: p
淹死	j i: m s ei
淹沒	j i: mm u: t
淺水	t sʰ i: n s ɵy
淺色	t sʰ i: n s ɪ k
淺見	t sʰ i: n k i: n
淺陋	t sʰ i: n l ɐu
淺笑	t sʰ i: n s i:u
淺綠	t sʰ i: n l ʊ k
淺說	t sʰ i: n s y: t
淺薄	t sʰ i: n p ɔ: k
淺藍	t sʰ i: n l a: m
淺灘	t sʰ i: n tʰ a: n
添丁	tʰ i: m t ɪ ŋ
添上	tʰ i: m s œ: ŋ
添加	tʰ i: m k a:
添設	tʰ i: m t sʰ i: t
添置	tʰ i: m t s i:
添補	tʰ i: m p ou
清白	t sʰ ɪ ŋ p a: k
清早	t sʰ ɪ ŋ t s ou
清秀	t sʰ ɪ ŋ s ɐu
清官	t sʰ ɪ ŋ k u: n
清明	t sʰ ɪ ŋ m ɪ ŋ
清亮	t sʰ ɪ ŋ l œ: ŋ
清幽	t sʰ ɪ ŋ j ɐu
清查	t sʰ ɪ ŋ t sʰ a:
清泉	t sʰ ɪ ŋ t sʰ y: n
清洗	t sʰ ɪ ŋ s ɐi
清苦	t sʰ ɪ ŋ f u:
清風	t sʰ ɪ ŋ f ʊ ŋ
清香	t sʰ ɪ ŋ h œ: ŋ
清倉	t sʰ ɪ ŋ t sʰ ɔ: ŋ
清純	t sʰ ɪ ŋ s ɵ n
清脆	t sʰ ɪ ŋ t sʰ ɵy
清酒	t sʰ ɪ ŋ t s ɐu
清除	t sʰ ɪ ŋ t sʰ ɵy
清高	t sʰ ɪ ŋ k ou
清唱	t sʰ ɪ ŋ t sʰ œ: ŋ
清晨	t sʰ ɪ ŋ s ɐ n
清涼	t sʰ ɪ ŋ l œ: ŋ
清淡	t sʰ ɪ ŋ tʰ a: m
清爽	t sʰ ɪ ŋ s ɔ: ŋ
清理	t sʰ ɪ ŋ l ei
清貧	t sʰ ɪ ŋ pʰ ɐ n
清單	t sʰ ɪ ŋ t a: n
清場	t sʰ ɪ ŋ t sʰ œ: ŋ
清寒	t sʰ ɪ ŋ h ɔ: n
清晰	t sʰ ɪ ŋ s ɪ k
清閒	t sʰ ɪ ŋ h a: n
清剿	t sʰ ɪ ŋ t s i:u
清廉	t sʰ ɪ ŋ l i: m
清新	t sʰ ɪ ŋ s ɐ n
清楚	t sʰ ɪ ŋ t sʰ ɔ:
清溪	t sʰ ɪ ŋ kʰ ɐi
清澈	t sʰ ɪ ŋ t sʰ i: t
清福	t sʰ ɪ ŋ f ʊ k
清算	t sʰ ɪ ŋ s y: n
清蒸	t sʰ ɪ ŋ t s ɪ ŋ
清潔	t sʰ ɪ ŋ k i: t
清盤	t sʰ ɪ ŋ pʰ u: n
清談	t sʰ ɪ ŋ tʰ a: m
清醇	t sʰ ɪ ŋ s ɵ n
清醒	t sʰ ɪ ŋ s ɪ ŋ
清靜	t sʰ ɪ ŋ t s ɪ ŋ
清償	t sʰ ɪ ŋ s œ: ŋ
清點	t sʰ ɪ ŋ t i: m
清麗	t sʰ ɪ ŋ l ɐi
烹煮	pʰ a: ŋ t s y:
烹飪	pʰ a: ŋ j ɐ m
烹調	pʰ a: ŋ tʰ i:u
烽火	f ʊ ŋ f ɔ:
烽煙	f ʊ ŋ j i: n
焉知	j i: n t s i:
焉能	j i: n l ɐ ŋ
焊口	h ɔ: n h ɐu
焊工	h ɔ: n k ʊ ŋ
焊料	h ɔ: n l i:u
焊接	h ɔ: n t s i: p
焊槍	h ɔ: n t sʰ œ: ŋ
爽口	s ɔ: ŋ h ɐu
爽快	s ɔ: ŋ f a:i
爽直	s ɔ: ŋ t s ɪ k
爽約	s ɔ: ŋ j œ: k
爽朗	s ɔ: ŋ l ɔ: ŋ
爽脆	s ɔ: ŋ t sʰ ɵy
牽引	h i: n j ɐ n
牽扯	h i: n t sʰ ɛ:
牽制	h i: n t s ɐi
牽涉	h i: n s i: p
牽起	h i: n h ei
牽動	h i: n t ʊ ŋ
牽強	h i: n kʰ œ: ŋ
牽掛	h i: n k w a:
牽連	h i: n l i: n
牽線	h i: n s i: n
猖狂	t sʰ œ: ŋ kʰ w ɔ: ŋ
猖獗	t sʰ œ: ŋ kʰ y: t
猙獰	t s ɐ ŋ l ɪ ŋ
猙獰	t s a: ŋ l ɪ ŋ
猙獰	t s ɐ ŋ n ɪ ŋ
猛士	m a: ŋ s i:
猛火	m a: ŋ f ɔ:
猛攻	m a: ŋ k ʊ ŋ
猛拍	m a: ŋ pʰ a: k
猛虎	m a: ŋ f u:
猛烈	m a: ŋ l i: t
猛追	m a: ŋ t s ɵy
猛將	m a: ŋ t s œ: ŋ
猛推	m a: ŋ tʰ ɵy
猛然	m a: ŋ j i: n
猛跑	m a: ŋ pʰ a:u
猛進	m a: ŋ t s ɵ n
猛漲	m a: ŋ t s œ: ŋ
猛增	m a: ŋ t s ɐ ŋ
猛撞	m a: ŋ t s ɔ: ŋ
猛撲	m a: ŋ pʰ ɔ: k
猛擊	m a: ŋ k ɪ k
猛獸	m a: ŋ s ɐu
猛襲	m a: ŋ t s a: p
猜中	t sʰ a:i t s ʊ ŋ
猜忌	t sʰ a:i k ei
猜到	t sʰ a:i t ou
猜枚	t sʰ a:i m u:i
猜度	t sʰ a:i t ou
猜拳	t sʰ a:i kʰ y: n
猜測	t sʰ a:i t sʰ ɐ k
猜想	t sʰ a:i s œ: ŋ
猜疑	t sʰ a:i j i:
猜謎	t sʰ a:i m ɐi
猝死	t s ʊ k s ei
率先	s ɵ t s i: n
率性	s ɵ t s ɪ ŋ
率直	s ɵ tt s ɪ k
率真	s ɵ tt s ɐ n
率隊	s ɵ tt ɵy
率領	s ɵ t l ɪ ŋ
現已	j i: n j i:
現今	j i: n k ɐ m
現世	j i: n s ɐi
現代	j i: n t ɔ:i
現任	j i: n j ɐ m
現在	j i: n t s ɔ:i
現存	j i: n t sʰ y: n
現年	j i: n l i: n
現成	j i: n s ɪ ŋ
現有	j i: n j ɐu
現行	j i: n h ɐ ŋ
現形	j i: n j ɪ ŋ
現役	j i: n j ɪ k
現身	j i: n s ɐ n
現況	j i: n f ɔ: ŋ
現狀	j i: n t s ɔ: ŋ
現金	j i: n k ɐ m
現時	j i: n s i:
現貨	j i: n f ɔ:
現場	j i: n t sʰ œ: ŋ
現款	j i: n f u: n
現象	j i: n t s œ: ŋ
現鈔	j i: n t sʰ a:u
現實	j i: n s ɐ t
現錢	j i: n t sʰ i: n
現職	j i: n t s ɪ k
球王	kʰ ɐu w ɔ: ŋ
球技	kʰ ɐu k ei
球季	kʰ ɐu k w ɐi
球拍	kʰ ɐu pʰ a: k
球狀	kʰ ɐu t s ɔ: ŋ
球門	kʰ ɐu m u: n
球星	kʰ ɐu s ɪ ŋ
球員	kʰ ɐu j y: n
球迷	kʰ ɐu m ɐi
球桿	kʰ ɐu k ɔ: n
球速	kʰ ɐu t sʰ ʊ k
球場	kʰ ɐu t sʰ œ: ŋ
球棒	kʰ ɐu pʰ a: ŋ
球隊	kʰ ɐu t ɵy
球鞋	kʰ ɐu h a:i
球壇	kʰ ɐu tʰ a: n
球賽	kʰ ɐu t sʰ ɔ:i
球藝	kʰ ɐu ŋ ɐi
球類	kʰ ɐu l ɵy
理工	l ei k ʊ ŋ
理由	l ei j ɐu
理事	l ei s i:
理念	l ei l i: m
理念	l ei n i: m
理性	l ei s ɪ ŋ
理則	l ei t s ɐ k
理科	l ei f ɔ:
理財	l ei t sʰ ɔ:i
理智	l ei t s i:
理想	l ei s œ: ŋ
理會	l ei w u:i
理當	l ei t ɔ: ŋ
理睬	l ei t sʰ ɔ:i
理解	l ei k a:i
理路	l ei l ou
理論	l ei l ɵ n
理髮	l ei f a: t
理學	l ei h ɔ: k
理應	l ei j ɪ ŋ
理虧	l ei kʰ w ɐi
瓶口	pʰ ɪ ŋ h ɐu
瓶子	pʰ ɪ ŋ t s i:
瓶底	pʰ ɪ ŋ t ɐi
瓶塞	pʰ ɪ ŋ s ɐ k
瓶裝	pʰ ɪ ŋ t s ɔ: ŋ
瓶蓋	pʰ ɪ ŋ kʰ ɔ:i
瓶嘴	pʰ ɪ ŋ t s ɵy
瓶頸	pʰ ɪ ŋ k ɛ: ŋ
瓷土	t sʰ i: tʰ ou
瓷片	t sʰ i: pʰ i: n
瓷瓶	t sʰ i: pʰ ɪ ŋ
瓷漆	t sʰ i: t sʰ ɐ t
瓷器	t sʰ i: h ei
瓷磚	t sʰ i: t s y: n
瓷雕	t sʰ i: t i:u
甜瓜	tʰ i: m k w a:
甜味	tʰ i: mm ei
甜品	tʰ i: m p ɐ n
甜美	tʰ i: mm ei
甜食	tʰ i: m s ɪ k
甜酒	tʰ i: m t s ɐu
甜棗	tʰ i: m t s ou
甜菜	tʰ i: m t sʰ ɔ:i
甜睡	tʰ i: m s ɵy
甜蜜	tʰ i: mm ɐ t
甜頭	tʰ i: m tʰ ɐu
甜點	tʰ i: m t i: m
產子	t sʰ a: n t s i:
產生	t sʰ a: n s ɐ ŋ
產地	t sʰ a: n t ei
產卵	t sʰ a: n l ɵ n
產房	t sʰ a: n f ɔ: ŋ
產物	t sʰ a: n m ɐ t
產品	t sʰ a: n p ɐ n
產後	t sʰ a: n h ɐu
產科	t sʰ a: n f ɔ:
產值	t sʰ a: n t s ɪ k
產能	t sʰ a: n l ɐ ŋ
產假	t sʰ a: n k a:
產婦	t sʰ a: n f u:
產期	t sʰ a: n kʰ ei
產量	t sʰ a: n l œ: ŋ
產業	t sʰ a: n j i: p
產權	t sʰ a: n kʰ y: n
畢生	p ɐ t s ɐ ŋ
畢竟	p ɐ t k ɪ ŋ
畢業	p ɐ t j i: p
略加	l œ: kk a:
略去	l œ: k h ɵy
略可	l œ: k h ɔ:
略似	l œ: k t sʰ i:
略為	l œ: k w ɐi
略帶	l œ: k t a:i
略微	l œ: k m ei
略過	l œ: kk w ɔ:
略說	l œ: k s y: t
略讀	l œ: k t ʊ k
異化	j i: f a:
異父	j i: f u:
異母	j i: m ou
異同	j i: tʰ ʊ ŋ
異地	j i: t ei
異形	j i: j ɪ ŋ
異見	j i: k i: n
異邦	j i: p ɔ: ŋ
異味	j i: m ei
異姓	j i: s ɪ ŋ
異性	j i: s ɪ ŋ
異動	j i: t ʊ ŋ
異國	j i: k w ɔ: k
異域	j i: w ɪ k
異常	j i: s œ: ŋ
異族	j i: t s ʊ k
異鄉	j i: h œ: ŋ
異端	j i: t y: n
異數	j i: s ou
異樣	j i: j œ: ŋ
異質	j i: t s ɐ t
異類	j i: l ɵy
異議	j i: j i:
疏失	s ɔ: s ɐ t
疏忽	s ɔ: f ɐ t
疏通	s ɔ: tʰ ʊ ŋ
疏散	s ɔ: s a: n
疏落	s ɔ: l ɔ: k
疏漏	s ɔ: l ɐu
疏遠	s ɔ: j y: n
疏導	s ɔ: t ou
疏離	s ɔ: l ei
疏懶	s ɔ: l a: n
痊癒	t sʰ y: n j y:
痔瘡	t s i: t sʰ ɔ: ŋ
痕跡	h ɐ n t s ɪ k
痕癢	h ɐ n j œ: ŋ
皎潔	k a:u k i: t
盒子	h ɐ p t s i:
盒裝	h ɐ p t s ɔ: ŋ
盔甲	kʰ w ɐi k a: p
盛大	s ɪ ŋ t a:i
盛世	s ɪ ŋ s ɐi
盛名	s ɪ ŋ m ɪ ŋ
盛行	s ɪ ŋ h ɐ ŋ
盛事	s ɪ ŋ s i:
盛況	s ɪ ŋ f ɔ: ŋ
盛怒	s ɪ ŋ n ou
盛夏	s ɪ ŋ h a:
盛宴	s ɪ ŋ j i: n
盛衰	s ɪ ŋ s ɵy
盛產	s ɪ ŋ t sʰ a: n
盛暑	s ɪ ŋ s y:
盛湯	s ɪ ŋ tʰ ɔ: ŋ
盛開	s ɪ ŋ h ɔ:i
盛飯	s ɪ ŋ f a: n
盛傳	s ɪ ŋ t sʰ y: n
盛會	s ɪ ŋ w u:i
盛裝	s ɪ ŋ t s ɔ: ŋ
盛舉	s ɪ ŋ k ɵy
盛饌	s ɪ ŋ t s i: n
盛讚	s ɪ ŋ t s a: n
眷念	k y: n l i: m
眷顧	k y: n k u:
眷戀	k y: n l y: n
眺望	tʰ i:u m ɔ: ŋ
眼力	a: n l ɪ k
眼力	ŋ a: n l ɪ k
眼白	ŋ a: n p a: k
眼皮	ŋ a: n pʰ ei
眼皮	a: n pʰ ei
眼光	a: n k w ɔ: ŋ
眼光	ŋ a: n k w ɔ: ŋ
眼色	ŋ a: n s ɪ k
眼見	ŋ a: n k i: n
眼角	a: n k ɔ: k
眼角	ŋ a: n k ɔ: k
眼底	ŋ a: n t ɐi
眼花	a: n f a:
眼花	ŋ a: n f a:
眼前	ŋ a: n t sʰ i: n
眼前	a: n t sʰ i: n
眼屎	a: n s i:
眼屎	ŋ a: n s i:
眼界	ŋ a: n k a:i
眼界	a: n k a:i
眼眉	a: n m ei
眼眉	ŋ a: n m ei
眼看	ŋ a: n h ɔ: n
眼看	a: n h ɔ: n
眼科	ŋ a: n f ɔ:
眼科	a: n f ɔ:
眼紅	a: n h ʊ ŋ
眼紅	ŋ a: n h ʊ ŋ
眼珠	ŋ a: n t s y:
眼珠	a: n t s y:
眼神	a: n s ɐ n
眼神	ŋ a: n s ɐ n
眼圈	ŋ a: n h y: n
眼圈	a: n h y: n
眼淚	a: n l ɵy
眼淚	ŋ a: n l ɵy
眼球	a: n kʰ ɐu
眼球	ŋ a: n kʰ ɐu
眼眶	ŋ a: n kʰ w a: ŋ
眼眶	ŋ a: n h ɔ: ŋ
眼部	a: n p ou
眼部	ŋ a: n p ou
眼睏	ŋ a: n kʰ w ɐ n
眼睛	a: n t s ɪ ŋ
眼睛	ŋ a: n t s ɪ ŋ
眼罩	a: n t s a:u
眼罩	ŋ a: n t s a:u
眼福	ŋ a: n f ʊ k
眼福	a: n f ʊ k
眼窩	ŋ a: n w ɔ:
眼窩	a: n w ɔ:
眼影	ŋ a: n j ɪ ŋ
眼影	a: n j ɪ ŋ
眼熟	ŋ a: n s ʊ k
眼熟	a: n s ʊ k
眼線	ŋ a: n s i: n
眼線	a: n s i: n
眼瞼	ŋ a: n k i: m
眼瞼	a: n k i: m
眼簾	ŋ a: n l i: m
眼鏡	ŋ a: n k ɛ: ŋ
眼鏡	a: n k ɛ: ŋ
眾人	t s ʊ ŋ j ɐ n
眾多	t s ʊ ŋ t ɔ:
着力	t s œ: k l ɪ k
着手	t s œ: k s ɐu
着火	t s œ: k f ɔ:
着色	t s œ: k s ɪ k
着急	t s œ: kk ɐ p
着重	t s œ: k t s ʊ ŋ
着迷	t s œ: k m ɐi
着陸	t s œ: k l ʊ k
着想	t s œ: k s œ: ŋ
着意	t s œ: k j i:
着落	t s œ: k l ɔ: k
着墨	t s œ: k m ɐ k
着數	t s œ: k s ou
着魔	t s œ: k m ɔ:
硫黃	l ɐu w ɔ: ŋ
硫酸	l ɐu s y: n
硫磺	l ɐu w ɔ: ŋ
祥和	t sʰ œ: ŋ w ɔ:
票房	pʰ i:u f ɔ: ŋ
票根	pʰ i:u k ɐ n
票源	pʰ i:u j y: n
票號	pʰ i:u h ou
票價	pʰ i:u k a:
票數	pʰ i:u s ou
票箱	pʰ i:u s œ: ŋ
票據	pʰ i:u k ɵy
票額	pʰ i:u ŋ a: k
祭天	t s ɐi tʰ i: n
祭文	t s ɐi m ɐ n
祭典	t s ɐi t i: n
祭祀	t s ɐi t s i:
祭品	t s ɐi p ɐ n
祭祖	t s ɐi t s ou
祭神	t s ɐi s ɐ n
祭酒	t s ɐi t s ɐu
祭墳	t s ɐi f ɐ n
祭壇	t s ɐi tʰ a: n
祭禮	t s ɐi l ɐi
移出	j i: t sʰ ɵ t
移去	j i: h ɵy
移民	j i: m ɐ n
移交	j i: k a:u
移向	j i: h œ: ŋ
